Labels,Latitude,Longitude,Capacity
ParkingVelo1,48.874183,2.3379248,14
ParkingVelo2,48.8828014,2.3593396,14
ParkingVelo3,48.8323227,2.3581872,12
ParkingVelo4,48.8704478,2.3893858,14
ParkingVelo5,48.8695442,2.3822001,10
ParkingVelo6,48.870221,2.3848877,8
ParkingVelo7,48.8692732,2.3856895,8
ParkingVelo8,48.8732645,2.3826127,20
ParkingVelo9,48.87159,2.3812711,8
ParkingVelo10,48.8701639,2.3795547,8
ParkingVelo11,48.8702919,2.3816397,20
ParkingVelo12,48.8674758,2.3831632,10
ParkingVelo13,48.8681179,2.385662,16
ParkingVelo14,48.8692039,2.3485759,20
ParkingVelo15,48.8702235,2.3490322,14
ParkingVelo16,48.8818854,2.3342983,22
ParkingVelo17,48.8405017,2.3540262,28
ParkingVelo18,48.8457967,2.3709748,12
ParkingVelo19,48.850694,2.3903108,12
ParkingVelo20,48.8529074,2.3973531,40
ParkingVelo21,48.8537772,2.396003,12
ParkingVelo22,48.8412171,2.3745004,16
ParkingVelo23,48.8713745,2.3723412,16
ParkingVelo24,48.8735018,2.3704852,14
ParkingVelo25,48.8747466,2.3721136,12
ParkingVelo26,48.8756333,2.3688579,18
ParkingVelo27,48.8761566,2.3705733,26
ParkingVelo28,48.8767843,2.3701909,6
ParkingVelo29,48.8766979,2.3671925,18
ParkingVelo30,48.8750608,2.3672145,8
ParkingVelo31,48.8696706,2.3692407,14
ParkingVelo32,48.8687314,2.3723378,10
ParkingVelo33,48.8683338,2.3698757,22
ParkingVelo34,48.8680633,2.3727534,20
ParkingVelo35,48.8631553,2.3869265,16
ParkingVelo36,48.8640692,2.3863363,28
ParkingVelo37,48.8663851,2.3814876,8
ParkingVelo38,48.867445,2.3750281,12
ParkingVelo39,48.8680671,2.3788237,24
ParkingVelo40,48.8456425,2.4033266,14
ParkingVelo41,48.8662757,2.3718964,42
ParkingVelo42,48.8758342,2.4011315,20
ParkingVelo43,48.8703695,2.3665503,6
ParkingVelo44,48.8748244,2.3637082,6
ParkingVelo45,48.8753956,2.36416,32
ParkingVelo46,48.8831518,2.371956,14
ParkingVelo47,48.8833551,2.37213,8
ParkingVelo48,48.8836902,2.3740022,20
ParkingVelo49,48.8840147,2.3752146,8
ParkingVelo50,48.8844537,2.3762678,8
ParkingVelo51,48.8849729,2.3784198,16
ParkingVelo52,48.8851153,2.3790072,16
ParkingVelo53,48.8854852,2.3808399,12
ParkingVelo54,48.8856762,2.3815928,12
ParkingVelo55,48.8865173,2.3847872,8
ParkingVelo56,48.8876088,2.3884598,10
ParkingVelo57,48.8890496,2.3944887,20
ParkingVelo58,48.8725576,2.3765752,8
